id,trigger,conditions,script,text,options,notes
# gaFC Tri-Tachyon Merc ambush after probes found,,,,,,
gaFCIsirahMercEncounter,BeginFleetEncounter,"$gaFC_isirahMerc score:1000
!$encounteredAlready","$encounteredAlready = true
FleetDesc
HailPlayer",,,
#gaFCScavengerGreeting,OpenCommLink,$entity.gaFCProbe_scavengerPermanentFlag score:1000,"MakeOtherFleetImportant gaFC false
# remove important tag from finding empty probe","拾荒者舰长在你的通讯面板中闪烁着。""你好。恕我冒昧，你的情况都还好吧? 回到核心世界还有很长的路要走，朋友，我们必须好好照顾彼此。""","gaFC_scavengerAsk:""你找到属于{Galatia}学院的探测器了吗?""
cutCommLink:切断通讯",
gaFCIsirahMercGreeting,OpenCommLink,$entity.gaFC_isirahMerc score:1000,FireAll GAFCIsirahMercHubOptions,"通讯被接通了。

""{$playerName}舰长，""雇佣舰长将双手在{$himOrHer}面前搭成三角状，直截了当地开口，""你有一些情报，我的雇主想让你和他们分享 - 只和他们分享。""

然后{$heOrShe}开始等待你的回复，并且看起来对当前的沉默感到十分满意。",,
gaFCIsirahMercHubReturn,DialogOptionSelected,$option == gaFC_isirahMercHubReturn,FireAll GAFCIsirahMercHubOptions,,,
gaFCIsirahMercHubOption1,GAFCIsirahMercHubOptions,!$askedWhatInfo,,,"gaFC_isirahMercWhatInfo:""具体是什么情报?""",
gaFCIsirahMercHubOption2,GAFCIsirahMercHubOptions,!$letsDeal,,,"gaFC_isirahMercLetsDeal:""不如我们做个交易吧。""",
gaFCIsirahMercHubOption3,GAFCIsirahMercHubOptions,!$whoWorkFor,,,"gaFC_isirahMercWhoWorkFor:""你的雇主是谁?""",
gaFCIsirahMercHubOption4,GAFCIsirahMercHubOptions,!$threatsResponded,,,"gaFC_isirahMercRespondThreats:""我可不喜欢受到威胁。""",
gaFCIsirahMercHubOption5,GAFCIsirahMercHubOptions,,,,"gaFC_isirahMercGetNothing:""你不可能从我这里得到任何情报。""",
gaFCIsirahMercWhatInfo,DialogOptionSelected,$option == gaFC_isirahMercWhatInfo,"$askedWhatInfo = true
FireAll GAFCIsirahMercHubOptions","{$HeOrShe}扬了扬{$hisOrHer}眉毛。""我想你很清楚是什么情报。你来这里是为了寻找某个东西，""对方露出了一个小小的微笑，""或者某个人。""

""自上一站的调查活动结束后，你似乎一直在有目的地四处奔波。我的雇主认为你找到了你想要找的东西，希望你能仅为我们提供这一情报。""",,
gaFCIsirahMercLetsDeal,DialogOptionSelected,"$option == gaFC_isirahMercLetsDeal
Call $global.gaFC_ref updateData","Highlight $gaFC_sellOutPrice
$letsDeal = true","""好，没问题。我的雇主已经授权我支付你{$gaFC_sellOutPrice}星币，以转移你所拥有的，与{Scylla}Coureuse}的当前位置相关的信息。""","gaFC_isirahMercDealDecline:拒绝交易
gaFC_isirahMercDealAccept:接受交易
gaFC_isirahMercOtherDeal:""不，我是说，如果我想让你忘记我的存在，要花多少钱?""",
gaFCIsirahMercAcceptDeal,DialogOptionSelected,$option == gaFC_isirahMercDealAccept,"AddCommodity credits $gaFC_sellOutPrice
AdjustRepActivePerson COOPERATIVE  5
AdjustRep $faction.id COOPERATIVE 2
$global.gaFC_soldOutCoureuseIsirah = true
Call $global.gaFC_ref soldOutIsirahLead
Call $global.gaFC_ref updateStage
MakeOtherFleetGoAway true","你同意了对方的条件，并监督将你舰员将的你所调查的{Scylla}Coureuse}的当前位置 - 也就是{Isirah}星系 - 的情报转交给了对方。雇佣兵在监管信息转交的简短过程中表现得精明干练。

""我将立即进行星币转账。我的雇主会觉得这是可以接受的。我们的任务完成了，舰长。""

通信被雇佣兵关闭了。",cutCommLinkNoText:Continue,
gaFCIsirahMercOtherDeal,DialogOptionSelected,$option == gaFC_isirahMercOtherDeal,,"雇佣兵盯着你，然后说: ""这样啊...那是不可能的。""","gaFC_isirahMercOtherDeal1:""50,000}星币也不行吗?""
gaFC_isirahMercHubReturn:""我们还是谈谈别的事吧...""
gaFC_isirahMercLetsDeal:""那就来谈谈你贿赂我的事吧。""",
gaFCIsirahMercOtherDeal1,DialogOptionSelected,$option == gaFC_isirahMercOtherDeal1,,"""不行，""{$heOrShe}说。","gaFC_isirahMercOtherDeal2:""100,000}如何呢?""
gaFC_isirahMercHubReturn:""我们还是谈谈别的事吧...""
gaFC_isirahMercLetsDeal:""那就来谈谈你贿赂我的事吧。""",
gaFCIsirahMercOtherDeal2,DialogOptionSelected,$option == gaFC_isirahMercOtherDeal2,,"""舰长，有些东西可不是简简单单用钱就能买到的。""

雇佣兵的表情在暗示着什么吗? 很难说。

""让我这么说吧，""{$heOrShe}说。""如果你的地位高到能购买我的服务，那你就不会得亲自到处跑，进而陷入这种处境了。因此，你的建议是完全不可能被接受的。""","gaFC_isirahMercHubReturn:""我们还是谈谈别的事吧...""
gaFC_isirahMercLetsDeal:""那就来谈谈你贿赂我的事吧。""
gaFC_isirahMercGetNothing:""那你就别想从我这得到什么东西了。""",
