id,text1,text2,text3,notes,更新情况,行号,text1相同,text2相同,text3相同,notes相同,text1_095,text2_095,text3_095,notes_095,text1_091,text2_091,text3_091,notes_091,text1_091cn,text2_091cn,text3_091cn,notes_091cn
lightmg,WEAPON,"轻机枪是一种历史悠久且廉价易得的近程速射武器。贯穿整个太空战斗史，轻机枪就一直都被用来在近距离内对抗来袭的导弹与战斗机。但在面对拥有良好装甲的目标时效果不佳。

由于易于制造，轻机枪在星域中拥有着数百种不同的型号，即便这些武器的机械原理千差万别，但凡是使用化学发射药以超过{1200}发每分的射速发射动能弹头的武器都被归类为舰载轻机枪。

因为弹药的开销很低，所以流行于各种小型民用舰船当中。因弹头外包裹有高熔点金属，允许其枪口初速更快，并在近距离内产生惊人的动能伤害。",,,变更,1,TRUE,FALSE,TRUE,TRUE,"A venerable low-cost, readily available rapid fire weapon which has been used effectively versus missiles and fighters at short range throughout the history of combat in space. It is nearly useless versus properly armored targets.

Due to ease of manufacture, hundreds of models exist in the Sector. Any weapon that employs chemical propellant to fire inert projectiles at over 1200 rounds per minute can be classified as a light ship-mounted machine gun, but beyond that the mechanisms that drive the actions of these weapons vary considerably. 

Popular with small civilian craft due to low cost ammunition. Projectiles jacketed with metals that have a high melting point allow greater muzzle velocity and deliver a surprisingly large amount of kinetic energy at close-range.",,,,"A venerable low-cost, readily available rapid fire weapon which has been used effectively versus missiles and fighters at short range throughout the history of combat in space. It is nearly useless versus properly armored targets.

Due to ease of manufacture, hundreds of models exist in the Sector. Any weapon that employs chemical propellant to fire inert projectiles at over 1200 rounds per minute can be classified as a light ship-mounted machine gun, but beyond that the mechanisms that drive the actions of these weapons vary considerably. 

Popular with small civilian craft due to low cost ammunition. Projectiles jacketed with metals that have a high melting point allow greater muzzle velocity and deliver a surprisingly large amount of kinetic energy at close-range.",Point Defense,,,"轻机枪是一种历史悠久且廉价易得的近程速射武器。贯穿整个太空战斗史，轻机枪就一直都被用来在近距离内对抗来袭的导弹与战斗机。但在面对拥有良好装甲的目标时效果不佳。

由于易于制造，轻机枪在星域中拥有着数百种不同的型号，即便这些武器的机械原理千差万别，但凡是使用化学发射药以超过{1200}发每分的射速发射动能弹头的武器都被归类为舰载轻机枪。

因为弹药的开销很低，所以流行于各种小型民用舰船当中。因弹头外包裹有高熔点金属，允许其枪口初速更快，并在近距离内产生惊人的动能伤害。",点防御,,
lightdualmg,WEAPON,"轻机枪的双管升级版。虽然它无法有效对付装甲目标，但自人类太空战斗史展开以来，它就已经担任着反导弹与反战机的任务。

作为一种速射小口径动能武器的连装版本，因其在拦截导弹与战机时的优秀表现而被星域中的大多数飞行员们所熟知。

由于双管轻机枪可在近距离内对敌舰护盾倾斜大量动能弹而致其反应堆迅速过载，而这正是那些缺乏战斗经验的菜鸟舰长所经常忽视的一种有效战术。",,,变更,2,TRUE,FALSE,TRUE,TRUE,"An upgraded, twin barrel version of the venerable light machine gun. Not effective against armored targets, but has excelled in an anti-missile and fighter role since the dawn of human space combat.

This is a dual mount of the same rapid fire, inert, low-caliber chemical projectile weapon known to every pilot in the Sector. An excellent point defense mount, which excels in both a missile interdiction and anti-fighter role. 

The large amount of kinetic energy delivered to shield systems of enemy craft at close-range typically causes emitter overload, a tactical option often overlooked by inexperienced captains.",,,,"An upgraded, twin barrel version of the venerable light machine gun. Not effective against armored targets, but has excelled in an anti-missile and fighter role since the dawn of human space combat.

This is a dual mount of the same rapid fire, inert, low-caliber chemical projectile weapon known to every pilot in the Sector. An excellent point defense mount, which excels in both a missile interdiction and anti-fighter role. 

The large amount of kinetic energy delivered to shield systems of enemy craft at close-range typically causes emitter overload, a tactical option often overlooked by inexperienced captains.",Point Defense,,,"轻机枪的双管升级版。虽然它无法有效对付装甲目标，但自人类太空战斗史展开以来，它就已经担任着反导弹与反战机的任务。

作为一种速射小口径动能武器的连装版本，因其在拦截导弹与战机时的优秀表现而被星域中的大多数飞行员们所熟知。

由于双管轻机枪可在近距离内对敌舰护盾倾斜大量动能弹而致其反应堆迅速过载，而这正是那些缺乏战斗经验的菜鸟舰长所经常忽视的一种有效战术。",点防御,,
lightmortar,WEAPON,"尽管这种老式武器只能以低射速发射低初速的近程破甲弹，但较低的幅能需求正是它能被沿用至今的唯一理由。

光从其蓝图就不难看出，轻型迫击炮在设计之初可能并未考虑过被安装在星舰之上。但在后续发展中通过在后膛装填装置进行的一些巧妙地改装，使得它得以能在大气层外安装并正常使用。在实战中,轻型迫击炮糟糕的转速和射速让它难以威胁到移动或者带护盾的目标。尽管如此，它还是经常被用于训练菜鸟炮手，以便让他们更好地掌握宇宙弹道学中的战术和术语。

如今这种轻便廉价的武器正被广泛应用于私人星舰或独行的星际飞行器上。",,,变更,3,TRUE,FALSE,TRUE,TRUE,"An antiquated weapon that fires anti-armor rounds at a low rate of fire, muzzle velocity, and range. Its low flux buildup is a lone saving grace.

The weapon blueprints for Light Mortars actually did not intend them for spacecraft at all, but an ingenious modification to the breech loading mechanism permits installation and use outside an atmospheric environment. In combat, there is little the Light Mortar can do versus moving or shielded targets due to its terrible mount rotation and rate of fire. Nonetheless, it is often used for training novice gunnery officers in the finer points of space ballistic tactics and nomenclature.

Commonly fitted on private yachts and solo interplanetary vehicles because it is so light and cheap.",,,,"An antiquated weapon that fires anti-armor rounds at a low rate of fire, muzzle velocity, and range. Its low flux buildup is a lone saving grace.

The weapon blueprints for Light Mortars actually did not intend them for spacecraft at all, but an ingenious modification to the breech loading mechanism permits installation and use outside an atmospheric environment. In combat, there is little the Light Mortar can do versus moving or shielded targets due to its terrible mount rotation and rate of fire. Nonetheless, it is often used for training novice gunnery officers in the finer points of space ballistic tactics and nomenclature.

Commonly fitted on private yachts and solo interplanetary vehicles because it is so light and cheap.",Assault,,,"尽管这种老式武器只能以低射速发射低初速的近程破甲弹，但较低的幅能需求正是它能被沿用至今的唯一理由。

光从其蓝图就不难看出，轻型迫击炮在设计之初可能并未考虑过被安装在星舰之上。但在后续发展中通过在后膛装填装置进行的一些巧妙地改装，使得它得以能在大气层外安装并正常使用。在实战中,轻型迫击炮糟糕的转速和射速让它难以威胁到移动或者带护盾的目标。尽管如此，它还是经常被用于训练菜鸟炮手，以便让他们更好地掌握宇宙弹道学中的战术和术语。

如今这种轻便廉价的武器正被广泛应用于私人星舰或独行的星际飞行器上。",突击,,
heavymortar,WEAPON,"拥有比表亲更高射速且能发射更大破甲弹的老式武器。尽管炮弹初速与射程较差,但较低的幅能需求正是它被沿用至今的唯一理由。

这种最初设计于行星地表作战的重型武器，其表面上是为了摧毁地面防御工事,但在城市轰炸中却发挥了更大的作用。由于机构简单且坚固耐用，因此只需替换自动测距仪与瞄准模块，就可使其在大气层外安装并正常使用。事实证明，用该武器来对付没有护盾且移动缓慢的目标时效果最佳。",,,变更,4,TRUE,FALSE,TRUE,TRUE,"An antiquated weapon that fires larger anti-armor rounds at a somewhat higher rate of fire than its smaller cousin. Projectile speed is low and effective range is short. Low flux buildup is a lone saving grace.

The Heavy Mortar was originally designed for use in planetary surface combat. Ostensibly intended for cracking fortifications, it saw far more use in urban bombardment. The robust internal mechanisms permit installation and use outside an atmospheric environment with only minor adjustments, notably replacement of the automatic rangefinder/targeting module. If employed against a large, unshielded, and slow-moving target, the heavy mortar can prove most effective.",,,,"An antiquated weapon that fires larger anti-armor rounds at a somewhat higher rate of fire than its smaller cousin. Projectile speed is low and effective range is short. Low flux buildup is a lone saving grace.

The Heavy Mortar was originally designed for use in planetary surface combat. Ostensibly intended for cracking fortifications, it saw far more use in urban bombardment. The robust internal mechanisms permit installation and use outside an atmospheric environment with only minor adjustments, notably replacement of the automatic rangefinder/targeting module. If employed against a large, unshielded, and slow-moving target, the heavy mortar can prove most effective.",Assault,,,"拥有比表亲更高射速且能发射更大破甲弹的老式武器。尽管炮弹初速与射程较差,但较低的幅能需求正是它被沿用至今的唯一理由。

这种最初设计于行星地表作战的重型武器，其表面上是为了摧毁地面防御工事,但在城市轰炸中却发挥了更大的作用。由于机构简单且坚固耐用，因此只需替换自动测距仪与瞄准模块，就可使其在大气层外安装并正常使用。事实证明，用该武器来对付没有护盾且移动缓慢的目标时效果最佳。",突击,,
vulcan,WEAPON,"能在贴身距离内对导弹与战机造成毁灭性打击的速射武器。但如果长期持续开火，其精度也会急剧下降。

由于这种经典的多管速射武器平台内配备有先进的计算装置，导致该武器通常是由拥有{霸主}授权的自动工厂代工完成。常使用带有贫铀弹尖的实心弹头，虽不具爆炸性，但多管设计所产生的极高射速,使其在牺牲幅能成本的前提下，对近距离内的小型移动目标拥有着不俗的拦截效率。",,,变更,5,TRUE,FALSE,TRUE,TRUE,"A rapid fire weapon that is especially devastating to missiles and fighters at point-blank range. Accuracy degrades sharply during prolonged bursts. 

An advanced timing mechanism beats in the heart of this multi-barrel weapon platform, generally manufactured only by licensed Hegemony Autofactories. Rounds typically use depleted uranium tips and are non explosive. Multiple barrels enable an extremely high rate of fire, which comes at a cost in flux.",,,,"A rapid fire weapon that is especially devastating to missiles and fighters at point-blank range. Accuracy degrades sharply during prolonged bursts. 

An advanced timing mechanism beats in the heart of this multi-barrel weapon platform, generally manufactured only by licensed Hegemony Autofactories. Rounds typically use depleted uranium tips and are non explosive. Multiple barrels enable an extremely high rate of fire, which comes at a cost in flux.",Point Defense,,,"能在贴身距离内对导弹与战机造成毁灭性打击的速射武器。但如果长期持续开火，其精度也会急剧下降。

由于这种经典的多管速射武器平台内配备有先进的计算装置，导致该武器通常是由拥有{霸主}授权的自动工厂代工完成。常使用带有贫铀弹尖的实心弹头，虽不具爆炸性，但多管设计所产生的极高射速,使其在牺牲幅能成本的前提下，对近距离内的小型移动目标拥有着不俗的拦截效率。",点防御,,
lightac,WEAPON,"射程优秀的小口径自动加农炮，旨在削弱敌舰护盾，尤其是在对付反应堆较弱的目标时效果最佳。

拥有自动装填与水冷系统的小口径武器，善于发射高速动能弹来在中远程交战中过载敌舰护盾。

适用于在小型舰船上提供火力支援。但极低的炮台转速，使它无法胜任反导和反战机任务。",,,变更,6,TRUE,FALSE,TRUE,TRUE,"A small caliber autocannon with a good range for such a light weapon. Designed to weaken enemy shields, especially effective against weaker generators.

Usually manufactured with small bores perfect for medium- to long-range. The weapon fires high velocity kinetic rounds designed to overload enemy shields with ease. Features an autoloader and is liquid cooled. 

Excellent fire support weapon for smaller craft.  Poor mount turn rate makes it a bad choice vs fighters and missiles.",,,,"A small caliber autocannon with a good range for such a light weapon. Designed to weaken enemy shields, especially effective against weaker generators.

Usually manufactured with small bores perfect for medium- to long-range. The weapon fires high velocity kinetic rounds designed to overload enemy shields with ease. Features an autoloader and is liquid cooled. 

Excellent fire support weapon for smaller craft.  Poor mount turn rate makes it a bad choice vs fighters and missiles.",Close Support,,,"射程优秀的小口径自动加农炮，旨在削弱敌舰护盾，尤其是在对付反应堆较弱的目标时效果最佳。

拥有自动装填与水冷系统的小口径武器，善于发射高速动能弹来在中远程交战中过载敌舰护盾。

适用于在小型舰船上提供火力支援。但极低的炮台转速，使它无法胜任反导和反战机任务。",密接支援,,
lightdualac,WEAPON,"轻型自动加农炮的双管版本。这种优秀的密接支援武器，能有效削弱敌舰的护盾系统。

这种适用于中远程交战的小口径武器，通过简洁巧妙的机械设计，在排出两倍于标准版数量弹壳的前提下，排除抛壳口被卡住的风险。与单管版本一致的是，该武器同样具备自动装填机与水冷系统,且仍善于利用发射的高速动能弹头来过载敌舰护盾。",,,变更,7,TRUE,FALSE,TRUE,TRUE,"A double barreled version of the Light AC. An excellent weapon for close-range support, and quite effective at bringing shields down.

Usually manufactured with small bores perfect for medium to long-range. An ingeniously elegant mechanical design prevents ejection ports from being jammed while expelling twice as many spent shell casings as the standard chassis. Like the single barrel version, the weapon fires high velocity rounds designed to punch through enemy shields. Autoloader and liquid cooling systems are identical to the single barrel version.",,,,"A double barreled version of the Light AC. An excellent weapon for close-range support, and quite effective at bringing shields down.

Usually manufactured with small bores perfect for medium to long-range. An ingeniously elegant mechanical design prevents ejection ports from being jammed while expelling twice as many spent shell casings as the standard chassis. Like the single barrel version, the weapon fires high velocity rounds designed to punch through enemy shields. Autoloader and liquid cooling systems are identical to the single barrel version.",Close Support,,,"轻型自动加农炮的双管版本。这种优秀的密接支援武器，能有效削弱敌舰的护盾系统。

这种适用于中远程交战的小口径武器，通过简洁巧妙的机械设计，在排出两倍于标准版数量弹壳的前提下，排除抛壳口被卡住的风险。与单管版本一致的是，该武器同样具备自动装填机与水冷系统,且仍善于利用发射的高速动能弹头来过载敌舰护盾。",密接支援,,
lightag,WEAPON,"用于近距离作战的小口径加农炮。优秀的射速使它能有效对付装甲。

为强调安全性，这种发射高爆弹头的小口径加农炮，通过内置冷却系统与自动装填器，来防止在高幅能下发生弹药殉爆。有趣的是，那些总想证明些什么的驱逐舰舰长很喜欢这个小玩意...",,,变更,8,TRUE,FALSE,TRUE,TRUE,"A small caliber cannon designed for close-range fights, excellent versus armor and with a superb fire rate.

Small caliber cannon designed to fire high-explosive rounds. Design of the coolant systems and autoloader emphasizes safety and prevention of cook-off potentially caused by high flux levels. Favored by destroyer captains that have something to prove.",,,,"A small caliber cannon designed for close-range fights, excellent versus armor and with a superb fire rate.

Small caliber cannon designed to fire high-explosive rounds. Design of the coolant systems and autoloader emphasizes safety and prevention of cook-off potentially caused by high flux levels. Favored by destroyer captains that have something to prove.",Assault,,,"用于近距离作战的小口径加农炮。优秀的射速使它能有效对付装甲。

为强调安全性，这种发射高爆弹头的小口径加农炮，通过内置冷却系统与自动装填器，来防止在高幅能下发生弹药殉爆。有趣的是，那些总想证明些什么的驱逐舰舰长很喜欢这个小玩意...",突击,,
fragbomb,WEAPON,"它能发射一连串依靠投放者惯性滑行，且配有近炸引信的小炸弹。

这种简单的三联装发射管，通过持续发射几十枚{Mk.VI}型破片炸弹来打击敌舰。尽管不具备制导与推近系统,且所谓的敌我识别完全依靠投射方的瞄准器,但它却能利用庞大的数量优势来覆盖大片区域，并在近炸引信被敌机触发时引爆,来产生类似防空炮的效果，以暂时在该位置生成防空拦截区。",,,变更,9,TRUE,FALSE,TRUE,TRUE,"Releases a cluster of free-floating bomblets that retain the momentum of the launching craft. The bomblets are equipped with a proximity fuse.

A Frag Bomb projector fires Mark VI fragmentation bomblets from three tubes. Unguided and without a propulsion system, the bomblets rely on a friend-or-foe targeting system. Their vast numbers allow them to cover a wide swath of space, effectively creating a Point Defense barrier in that location, albeit for a limited time. When the proximity fuse is triggered by an enemy craft, the bomblet will detonate, achieving similar effects to those of flak weapons.",,,,"Releases a cluster of free-floating bomblets that retain the momentum of the launching craft. The bomblets are equipped with a proximity fuse.

A Frag Bomb projector fires Mark VI fragmentation bomblets from three tubes. Unguided and without a propulsion system, the bomblets rely on a friend-or-foe targeting system. Their vast numbers allow them to cover a wide swath of space, effectively creating a Point Defense barrier in that location, albeit for a limited time. When the proximity fuse is triggered by an enemy craft, the bomblet will detonate, achieving similar effects to those of flak weapons.",Point Defense,,,"它能发射一连串依靠投放者惯性滑行，且配有近炸引信的小炸弹。

这种简单的三联装发射管，通过持续发射几十枚{Mk.VI}型破片炸弹来打击敌舰。尽管不具备制导与推近系统,且所谓的敌我识别完全依靠投射方的瞄准器,但它却能利用庞大的数量优势来覆盖大片区域，并在近炸引信被敌机触发时引爆,来产生类似防空炮的效果，以暂时在该位置生成防空拦截区。",点防御,,
clusterbomb,WEAPON,"释放一群依靠惯性飘浮的高爆炸弹,能有效摧毁缺乏点防的低速目标。

这种拥有三联装发射管的集束炸弹投射器，旨在持续发射几十枚完全依赖惯性飘浮的，且无制导、敌我识别与推近系统的{Mk.II}型高爆炸弹来打击敌舰，这些集束炸弹不仅能有效威胁缺乏护盾的老旧星舰，其惊人的投放量，也能起到区域封锁与正面压制的作用。",,,变更,10,TRUE,FALSE,TRUE,TRUE,"Releases a cluster of free-floating, high-explosive bomblets. More effective versus unshielded and slow-moving targets.

A Cluster Bomb projector is equipped with three tubes designed to fire dozens of Mark II Explosively Formed Penetrator bomblets. The bomblets are unguided and have no propulsion system, relying on the initial momentum of the strike craft to engage the target. They are equipped with a friend-or-foe targeting scanner, and will only detonate when impacting an appropriate target. The shaped charge explosive is highly effective versus unshielded targets. The sheer number of bomblets that can be deployed by this weapon system is staggering, and as such it makes the Cluster Bomb a useful area denial weapon.",,,,"Releases a cluster of free-floating, high-explosive bomblets. More effective versus unshielded and slow-moving targets.

A Cluster Bomb projector is equipped with three tubes designed to fire dozens of Mark II Explosively Formed Penetrator bomblets. The bomblets are unguided and have no propulsion system, relying on the initial momentum of the strike craft to engage the target. They are equipped with a friend-or-foe targeting scanner, and will only detonate when impacting an appropriate target. The shaped charge explosive is highly effective versus unshielded targets. The sheer number of bomblets that can be deployed by this weapon system is staggering, and as such it makes the Cluster Bomb a useful area denial weapon.",Strike,,,"释放一群依靠惯性飘浮的高爆炸弹,能有效摧毁缺乏点防的低速目标。

这种拥有三联装发射管的集束炸弹投射器，旨在持续发射几十枚完全依赖惯性飘浮的，且无制导、敌我识别与推近系统的{Mk.II}型高爆炸弹来打击敌舰，这些集束炸弹不仅能有效威胁缺乏护盾的老旧星舰，其惊人的投放量，也能起到区域封锁与正面压制的作用。",打击,,
